194247	Sacrifice	n	സമര്‍പ്പിക്കുക
194248	Sacrifice	n	യാഗം നടത്തുക
61365	Sacrificial	a	യജ്ഞപരമായ
61366	Sacrificial	a	ബലിദാനത്തെ സംബന്ധിച്ച
61367	Sacrificial	a	യാഗോചിതമായ
163109	Sacrificial	a	ബലിദാനപരമായ
213833	Sacrificial	a	യാഗോചിതമായ
109533	Sacrificial altar	n	ബലിക്കല്ല്‌
111532	Sacrificial animal	n	ബലിമൃഗം
112392	Sacrificial cow	-	യാഗപ്പശു
61368	Sacrificial fire	n	യാഗാഗ്നി
109106	Sacrificial fire-wood	n	യാഗാഗ്നി
108285	Sacrificial grass	n	ആറ്റുദര്‍ഭ
108286	Sacrificial grass	v	കറുക
108794	Sacrificial offering	-	ബലിയാട്‌
121097	Sacrificing	v	ത്യജിക്കുക
121098	Sacrificing	v	ബലിയര്‍പ്പിക്കുക
61360	Sacrify	v	അർപ്പിക്കുക
61361	Sacrify	v	ബലിനല്‍കുക
61362	Sacrify	v	ത്യാഗം ചെയ്യുക
61363	Sacrify	v	പൂര്‍ണ്ണമനസ്സോടെ സ്വാര്‍ത്ഥതാല്‍പര്യവും മറ്റും പരിത്യജിക്കുക
61364	Sacrify	v	നഷ്‌ടം സഹിക്കുക
61369	Sacrilege	n	ദൈവനിന്ദ
61370	Sacrilege	n	ദേവാലയധ്വംസനം
61371	Sacrilege	v	അശുദ്ധമാക്കല്‍
61372	Sacrilege	n	ധര്‍മ്മോല്ലാംഘനം
61373	Sacrilege	n	ദേവസ്വാപഹരണം
61374	Sacrilege	n	പുണ്യകാര്യദൂഷണം
163317	Sacrilege	n	അപവിത്രീകരണം
194249	Sacrilege	v	ക്ഷേത്രഭണ്ഡാരക്കവര്‍ച്ച
194250	Sacrilege	v	ദൈവദൂഷണം
61375	Sacrilegious	a	ദൈവനിന്ദകമായ
163524	Sacrilegious	a	ദൈവദ്രാഹപരമായ
163525	Sacrilegious	a	ധര്‍മ്മവിരുദ്ധമായ
194251	Sacrilegious	a	ദൈവദ്രോഹപരമായ
194252	Sacrilegious	a	ദേവനിന്ദാപരമായ
194253	Sacrilegious	a	ദൈവനിന്ദ ചെയ്ത
194254	Sacrilegious	a	ഈശ്വരനിന്ദകമായ
163755	Sacristan	n	പുരോഹിതന്‍
163756	Sacristan	n	കാര്‍മ്മികന്‍
163971	Sacristy	n	പള്ളിച്ചമയമുറി
163972	Sacristy	n	പൂജാസാധനങ്ങള്‍ വച്ചിട്ടുള്ള മുറി
107710	Sacrophyte	n	ഒരു ശവംതീനി സസ്യം
61376	Sacrosanct	a	പരമപവിത്രമായ
61377	Sacrosanct	a	അലംഘനീയമായ
61378	Sacrosanct	a	അതിപൂജ്യനായ
61379	Sacrosanct	a	പൂജാര്‍ഹമായ
61380	Sacrosanctity	n	പരമപവിത്രത
61381	Sacrosanctity	n	അലംഘനീയം
61382	Sacrum	-	ത്രികാസഥി
